,SEM_PRI,0,1,2,3,4,CASES
208,201052,116.0,1.0,0.0,0.0,0.0,117.0
209,201101,252.0,1.0,0.0,0.0,0.0,253.0
210,201102,328.0,2.0,0.0,0.0,0.0,330.0
211,201103,334.0,3.0,0.0,0.0,0.0,337.0
212,201104,543.0,9.0,0.0,0.0,0.0,552.0
213,201105,904.0,4.0,0.0,0.0,0.0,908.0
214,201106,1465.0,2.0,0.0,0.0,0.0,1467.0
215,201107,1822.0,5.0,2.0,0.0,0.0,1829.0
216,201108,1966.0,3.0,1.0,0.0,0.0,1970.0
217,201109,1809.0,7.0,0.0,1.0,0.0,1817.0
218,201110,1861.0,3.0,0.0,0.0,0.0,1864.0
219,201111,3110.0,7.0,1.0,0.0,0.0,3118.0
220,201112,4791.0,4.0,2.0,0.0,0.0,4797.0
221,201113,4556.0,2.0,0.0,0.0,0.0,4558.0
222,201114,4823.0,10.0,0.0,0.0,0.0,4833.0
223,201115,3950.0,11.0,1.0,0.0,0.0,3962.0
224,201116,4316.0,5.0,2.0,0.0,0.0,4323.0
225,201117,5664.0,8.0,2.0,0.0,0.0,5674.0
226,201118,4679.0,9.0,1.0,0.0,0.0,4689.0
227,201119,4282.0,7.0,0.0,0.0,0.0,4289.0
228,201120,3433.0,4.0,0.0,0.0,0.0,3437.0
229,201121,2618.0,2.0,0.0,0.0,0.0,2620.0
230,201122,2212.0,1.0,0.0,0.0,0.0,2213.0
231,201123,1366.0,1.0,0.0,0.0,0.0,1367.0
232,201124,1016.0,0.0,0.0,0.0,0.0,1016.0
233,201125,629.0,1.0,0.0,0.0,0.0,630.0
234,201126,510.0,0.0,0.0,0.0,0.0,510.0
235,201127,349.0,1.0,0.0,0.0,0.0,350.0
236,201128,292.0,0.0,0.0,0.0,0.0,292.0
237,201129,208.0,0.0,0.0,0.0,0.0,208.0
238,201130,186.0,1.0,0.0,0.0,0.0,187.0
239,201131,138.0,1.0,0.0,0.0,0.0,139.0
240,201132,145.0,0.0,0.0,0.0,0.0,145.0
241,201133,147.0,0.0,0.0,0.0,0.0,147.0
242,201134,102.0,0.0,0.0,0.0,0.0,102.0
243,201135,92.0,0.0,0.0,0.0,0.0,92.0
244,201136,118.0,0.0,0.0,0.0,0.0,118.0
245,201137,125.0,1.0,0.0,0.0,0.0,126.0
246,201138,179.0,0.0,0.0,0.0,0.0,179.0
247,201139,208.0,0.0,0.0,0.0,0.0,208.0
248,201140,199.0,0.0,0.0,0.0,0.0,199.0
249,201141,228.0,0.0,0.0,0.0,0.0,228.0
250,201142,199.0,1.0,0.0,0.0,0.0,200.0
251,201143,273.0,0.0,0.0,0.0,0.0,273.0
